"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"INSCRIPCION INICIAL IMPORTADO","2024-09-13","2024-09-13",1140,"SAN ISIDRO Nº 04","Buenos Aires","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","BECCAR","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-24","2024-09-24",1222,"BAHIA BLANCA Nº 6","Buenos Aires","Importado","2023","C4","PICK-UP CARROZADA","F82","FOTON","023","TM1","1","Privado","Jurídica","BAHIA BLANCA","BUENOS AIRES","No aplica","2014","No aplica",100,"06",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-09","2024-09-09",1216,"QUILMES Nº 7","Buenos Aires","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","QUILMES","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-11","2024-09-11",17003,"ORAN","Salta","Importado","2023","C4","PICK-UP CARROZADA","F82","FOTON","023","TM1","1","Privado","Física","SAN RAMON DE LA NUEVA ORAN","SALTA","Femenino","1980","ARGENTINA",100,"66","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-10","2024-09-10",24008,"USHUAIA Nº 4","Tierra del Fuego","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","USHUAIA","T.DEL FUEGO","No aplica","2011","No aplica",100,"94",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-18","2024-09-18",21040,"SAN CARLOS CENTRO","Santa Fe","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","SAN CARLOS SUD","SANTA FE","Masculino","1971","ARGENTINA",100,"82","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-24","2024-09-24",20004,"PUERTO DESEADO","Santa Cruz","Importado","2023","C4","PICK-UP CARROZADA","F82","FOTON","023","TM1","1","Privado","Física","PUERTO DESEADO","SANTA CRUZ","Masculino","1987","ARGENTINA",100,"78","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-26","2024-09-26",7011,"COMODORO RIVADAVIA Nº 4","Chubut","Importado","2023","C4","PICK-UP CARROZADA","F82","FOTON","023","TM1","1","Privado","Jurídica","COMODORO RIVADAVIA","CHUBUT","No aplica","2008","No aplica",100,"26",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-23","2024-09-23",2072,"CAPITAL FEDERAL Nº 072","Ciudad Autónoma de Bs.As.","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2018","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-06","2024-09-06",2075,"CAPITAL FEDERAL Nº 075","Ciudad Autónoma de Bs.As.","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2018","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-02","2024-09-02",2069,"CAPITAL FEDERAL Nº 069","Ciudad Autónoma de Bs.As.","Importado","2023","C4","PICK-UP CARROZADA","684","CHANGAN","011","MD201 BOX","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","2001","ARGENTINA",100,"02","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-04","2024-09-04",2083,"CAPITAL FEDERAL Nº 083","Ciudad Autónoma de Bs.As.","Importado","2022","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1984","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-25","2024-09-25",2099,"CAPITAL FEDERAL Nº 099","Ciudad Autónoma de Bs.As.","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1996","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-04","2024-09-04",2083,"CAPITAL FEDERAL Nº 083","Ciudad Autónoma de Bs.As.","Importado","2022","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1984","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-03","2024-09-03",2085,"CAPITAL FEDERAL Nº 085","Ciudad Autónoma de Bs.As.","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1976","ARGENTINA",100,"02","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-30","2024-09-30",1233,"LANUS Nº 7","Buenos Aires","Importado","2023","C4","PICK-UP CARROZADA","F82","FOTON","023","TM1","1","Privado","Física","LANÚS","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-25","2024-09-25",4063,"CORDOBA Nº 20","Córdoba","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1978","ARGENTINA",100,"14","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-25","2024-09-25",15006,"NEUQUEN Nº 3","Neuquén","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Jurídica","NEUQUEN","NEUQUEN","No aplica","2022","No aplica",100,"58",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-05","2024-09-05",6010,"RESISTENCIA Nº 2","Chaco","Importado","2023","C4","PICK-UP CARROZADA","R81","KYC","005","MAMUT BOX REFRIGERADO","1","Privado","Física","RESISTENCIA","CHACO","Femenino","1996","ARGENTINA",100,"22","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-13","2024-09-13",2003,"CAPITAL FEDERAL Nº 003","Ciudad Autónoma de Bs.As.","Importado","2023","99","CHASIS CON CABINA DOBLE","287","HINO","019","300 / 816","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2008","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-27","2024-09-27",1057,"MAIPU","Buenos Aires","Protocolo 21","2024","99","CHASIS CON CABINA DOBLE","063","IVECO","521","DAILY 70-170","1","Privado","Física","SUIPACHA","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-04","2024-09-04",22002,"FRIAS","Santiago del Estero","Protocolo 21","2024","99","CHASIS CON CABINA DOBLE","063","IVECO","521","DAILY 70-170","0","Oficial","Jurídica","FRIAS","SGO.DEL ESTERO","No aplica","1974","No aplica",100,"86",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-09","2024-09-09",13001,"MENDOZA Nº 01","Mendoza","Protocolo 21","2024","99","CHASIS CON CABINA DOBLE","063","IVECO","521","DAILY 70-170","1","Privado","Jurídica","CIUDAD","MENDOZA","No aplica","2010","No aplica",100,"50",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-30","2024-09-30",2034,"CAPITAL FEDERAL Nº 034","Ciudad Autónoma de Bs.As.","Protocolo 21","2024","99","CHASIS CON CABINA DOBLE","063","IVECO","521","DAILY 70-170","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1967","ARGENTINA",100,"02","ARG"
"INSCRIPCION INICIAL IMPORTADO","2024-09-30","2024-09-30",2083,"CAPITAL FEDERAL Nº 083","Ciudad Autónoma de Bs.As.","Importado","2024","99","CHASIS CON CABINA DOBLE","287","HINO","019","300 / 816","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1984","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-05","2024-09-05",2093,"CAPITAL FEDERAL Nº 093","Ciudad Autónoma de Bs.As.","Protocolo 21","2023","99","CHASIS CON CABINA DOBLE","063","IVECO","521","DAILY 70-170","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1981","No aplica",100,"02",""
"INSCRIPCION INICIAL IMPORTADO","2024-09-26","2024-09-26",15008,"CENTENARIO Nº 1","Neuquén","Importado","2024","99","CHASIS CON CABINA DOBLE","061","ISUZU","209","NPR75 L","1","Privado","Jurídica","NEUQUEN","NEUQUEN","No aplica","2001","No aplica",100,"58",""
"INSCRIPCION INICIAL NACIONAL","2024-09-26","2024-09-26",1127,"LA PLATA Nº 05","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","EE","600S44TLA05","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","BUENOS AIRES","No aplica","1974","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-19","2024-09-19",1127,"LA PLATA Nº 05","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FF","170E28TLM21","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2020","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-05","2024-09-05",1144,"QUILMES Nº 3","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","QUILMES","BUENOS AIRES","No aplica","2013","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1110,"SAN ANDRES DE GILES","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","SAN ANDRÉS DE GILES","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-26","2024-09-26",1127,"LA PLATA Nº 05","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","CN","600S44TLA15","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","BUENOS AIRES","No aplica","1974","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-17","2024-09-17",1179,"SAN MARTIN Nº 5","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","VILLA MAIPU","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","LOMAS DE ZAMORA","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-25","2024-09-25",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FE","170E30TLA22","1","Privado","Jurídica","MAR DEL PLATA","BUENOS AIRES","No aplica","2018","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1180,"CAMPANA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","CAMPANA","BUENOS AIRES","No aplica","2014","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-27","2024-09-27",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FM","AT530S36TYPA85","1","Privado","Jurídica","GENERAL GUEMES","BUENOS AIRES","No aplica","2008","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-13","2024-09-13",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-11","2024-09-11",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-09","2024-09-09",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FB","460S36TLA14","1","Privado","Física","OLAVARRÍA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-04","2024-09-04",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","AVELLANEDA","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-13","2024-09-13",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
